Date,Close,High,Low,Open,Volume,SMA_20,SMA_50,RSI,EMA_20
2022-09-13,1195.906982421875,1200.4491194045427,1187.3477160754526,1195.1081207827935,8888657,1190.655255126953,1152.3440063476562,55.67377100939817,1181.6092329988796
2022-09-14,1181.572998046875,1191.4561336808906,1174.451706778856,1175.4787801044877,8678219,1189.415240478516,1154.0557177734374,50.91183768183116,1181.6057820510696
2022-09-15,1169.864013671875,1188.5118075681453,1167.147811442509,1179.1308576947656,10365600,1187.2746765136721,1155.4877465820311,47.34911879845521,1180.4875183959082
2022-09-16,1140.87646484375,1165.4360295150038,1137.1331890610516,1161.2133883938545,20217708,1183.574774169922,1156.1621142578124,39.90422346733787,1176.7150371052264
2022-09-19,1142.3599853515625,1151.6040077939597,1132.7278822878002,1140.876367867208,7580254,1181.0320861816406,1157.060900878906,40.420532893970524,1173.4431274144013
2022-09-20,1142.54248046875,1158.4514907194557,1138.8220264150539,1151.4898271317024,8411448,1178.664001464844,1158.179462890625,40.488267572537694,1170.5002086576726
2022-09-21,1145.6923828125,1156.3059159956042,1138.9590517800352,1139.7579133773165,9207309,1175.5358520507814,1159.330993652344,41.719856001180446,1168.13755857718
2022-09-22,1134.896240234375,1142.6110027498532,1128.5053470017444,1134.8505978968233,10308170,1172.0288208007812,1159.9708447265627,38.75916157603053,1164.9717187350082
2022-09-23,1113.62353515625,1139.3927402184245,1112.0714541784876,1134.394179751921,9528051,1167.6338989257813,1160.2166381835941,33.68640277189864,1160.081415537031
2022-09-26,1085.252197265625,1103.7175409409906,1084.2479451217905,1092.8756748841324,12479523,1162.1411071777343,1160.2854052734378,28.35603552838022,1152.9548233207067
2022-09-27,1093.880126953125,1107.460896407162,1077.3777647816369,1092.8529328199063,16154822,1157.5441894531252,1160.348366699219,31.885845526316018,1147.3286617618894
2022-09-28,1064.7554931640625,1085.5489575446488,1062.3132660155625,1077.491757249726,16997059,1150.5712036132813,1159.7865185546875,27.042389678502115,1139.4645504668583
2022-09-29,1061.49169921875,1080.7557852500533,1055.8767254588533,1077.3321267840065,14671827,1145.205096435547,1158.973293457031,26.555578968532956,1132.0385646337052
2022-09-30,1085.434814453125,1096.5047707006538,1054.9636064469146,1054.9636064469146,18613024,1141.718603515625,1158.5037890625001,35.70022901750177,1127.6001122355547
2022-10-03,1081.6688232421875,1103.3294933419215,1078.7015883112226,1091.7117072217247,11852723,1137.146795654297,1157.3592651367187,34.96283726254129,1123.225703759996
2022-10-04,1101.61767578125,1103.808870249341,1091.095426399377,1094.587668996287,8948850,1132.9550170898438,1156.7656909179684,41.8183029449081,1121.1677963334487
2022-10-06,1105.680419921875,1118.4166846220046,1103.87730611944,1108.830344904405,13352162,1129.31103515625,1156.1004858398437,43.132988868986025,1119.692808103775
2022-10-07,1110.359619140625,1115.6321543527151,1102.2795971833257,1102.2795971833257,7714340,1125.8177001953125,1156.2814575195314,44.68333393797967,1118.8039329644273
2022-10-10,1098.239501953125,1103.6261422996602,1090.113838728358,1097.8742425541366,6329527,1122.085827636719,1156.2100170898439,41.5254086499689,1116.8454157252556
2022-10-11,1076.373291015625,1101.982746487589,1073.2691292307711,1101.982746487589,9215177,1116.6044372558595,1155.7221801757812,36.511896508916635,1112.9909276576718
2022-10-12,1084.2935791015625,1087.2379927529598,1069.6171531804475,1073.6800455545388,7417103,1111.023767089844,1155.0478491210936,39.36742374109524,1110.2578468428042
2022-10-13,1087.7401123046875,1092.8527780894253,1077.3776122421918,1082.5360411069073,7328492,1106.3321228027344,1153.9660522460936,40.619029111177184,1108.1133006963169
2022-10-14,1082.2164306640625,1103.0555367494892,1081.4860325836341,1102.4392445024225,9106089,1101.9497436523438,1152.178625488281,39.22163798960434,1105.6469321218165
2022-10-17,1099.586181640625,1101.9827665257233,1069.845490552908,1075.0495620947684,16729355,1099.8852294921876,1150.6494116210936,45.56365018659755,1105.0697177902744
2022-10-18,1118.9873046875,1124.3511243615108,1104.7902440911478,1105.634748048647,12415820,1098.7165954589843,1149.3107470703123,51.634279372988374,1106.3952022566768
2022-10-19,1138.4569091796875,1153.9550179585947,1114.6277458530562,1120.4709308445554,19247142,1098.512316894531,1148.6749755859373,56.836366783868264,1109.4486981541065
2022-10-20,1141.5155029296875,1149.9150215278255,1134.3942113183082,1134.3942113183082,8717053,1098.3034729003907,1148.4452783203124,57.60775979636102,1112.5026795613046
2022-10-21,1128.2769775390625,1148.9106943491454,1126.177188586748,1144.7565172867282,8243452,1097.972509765625,1147.6491357421876,53.17788673961761,1114.0049936544244
2022-10-24,1132.0430908203125,1142.382770547029,1120.836206695688,1122.9816380159375,3370033,1098.8934875488283,1146.7886254882812,54.25555988380029,1115.7229076702233
2022-10-25,1114.559326171875,1140.785075413764,1112.9387816840604,1140.785075413764,12233241,1100.3588439941407,1145.5001782226561,48.656638065131446,1115.6120903846663
2022-10-27,1118.941650390625,1126.8391025996318,1110.5649536618178,1122.0686333408069,12513059,1101.6119201660156,1143.9180786132813,50.04808463904936,1115.9291913376148
2022-10-28,1153.178955078125,1157.218905475806,1122.730566891981,1125.2640787350124,17609592,1106.0330932617187,1142.8541918945314,59.32301634203516,1119.4767878843302
2022-10-31,1163.8839111328125,1169.065162018063,1155.9408156542663,1159.9580661075936,12419943,1111.1527038574218,1141.8783642578126,61.71655056326362,1123.706037717519
2022-11-01,1154.8680419921875,1186.8912136799254,1144.8936213637878,1186.8912136799254,13963166,1114.6243652343749,1140.6782348632812,58.589614954236836,1126.6738476484397
2022-11-02,1162.08056640625,1164.1576549471247,1148.0890168960855,1155.986348539346,8981896,1118.644952392578,1140.0555712890623,60.321568233805166,1130.0459161015647
2022-11-03,1166.417236328125,1168.4258612328554,1152.6767205686606,1154.8679148064807,6693449,1121.8849304199218,1139.5858325195313,61.36780515394378,1133.509851361237
2022-11-04,1183.5816650390625,1186.8912175642852,1164.568612402097,1165.8467186255812,12575815,1125.7799926757814,1139.0923583984377,65.27104248170845,1138.27859552103
2022-11-07,1189.9041748046875,1191.5933036815059,1175.0224772794022,1182.7828828061095,11789748,1129.7572204589844,1138.7897045898437,66.60931850606633,1143.1953173575687
2022-11-09,1188.71728515625,1196.9114132053803,1182.3490921570585,1191.5932354947927,11254205,1134.2811096191408,1138.5336108398437,66.09441690447449,1147.530742862205
2022-11-10,1174.3375244140625,1185.3161961635597,1170.0007782161263,1182.3261403082447,5966242,1139.1793212890627,1138.1182006835938,60.03894104211464,1150.0837696766675
2022-11-11,1201.407958984375,1203.3251787933696,1181.4133535308406,1186.8912796597394,12310132,1145.035040283203,1138.429990234375,66.29870967856034,1154.971787705973
2022-11-14,1195.58740234375,1206.0640083384951,1189.2420312652064,1200.9284005914947,9043112,1150.427404785156,1138.257434082031,63.97807675475752,1158.8399414809994
2022-11-15,1190.2237548828125,1198.9427700567662,1182.3263018305277,1197.0711926191022,7086433,1155.8277709960937,1138.6856323242187,61.83032878178973,1161.828876090696
2022-11-16,1183.3990478515625,1194.1723297469184,1178.3775455967132,1191.4561277313167,9716161,1160.0184143066408,1139.2503198242189,59.11119636391846,1163.8831781631593
2022-11-17,1186.4576416015625,1192.8257139314462,1177.7613269715819,1180.0209850155613,6661451,1163.391931152344,1139.517373046875,59.96103047802577,1166.0331270620547
